time_sec,w_000,w_001,w_002,w_003,w_004,w_005,w_006,w_007,w_008,w_009,w_sum
2.2,0.0008000463,0.0899394,0.6286537,0.2732118,0.0073826793,1.2403802e-05,1.2957546e-09,8.41619e-15,3.398868e-21,8.534589e-29,1.0
2.2166667,0.00072241324,0.085060306,0.6227225,0.28345808,0.008022495,1.4117463e-05,1.5446507e-09,1.0508272e-14,4.4448542e-21,1.1689875e-28,0.99999994
2.2333333,0.000651813,0.08038413,0.616374,0.29386288,0.00871107,1.605556e-05,1.8399451e-09,1.3110318e-14,5.8082377e-21,1.5999537e-28,0.99999994
2.25,0.00058766024,0.07590661,0.60962075,0.30441526,0.009451476,1.8245666e-05,2.1900122e-09,1.6343994e-14,7.583985e-21,2.1880704e-28,1.0
2.2666667,0.000529412,0.07162322,0.6024765,0.31510326,0.010246896,2.0718506e-05,2.6046594e-09,2.0359596e-14,9.894964e-21,2.9900977e-28,1.0
2.2833333,0.0004765694,0.06752926,0.59495556,0.32591447,0.011100667,2.3508303e-05,3.0954226e-09,2.534227e-14,1.2900173e-20,4.082981e-28,1.0
2.3,0.00042866846,0.06361998,0.58707315,0.33683518,0.012016259,2.6653079e-05,3.675806e-09,3.1519956e-14,1.6805207e-20,5.5709353e-28,0.99999994
2.3166666,0.0003852824,0.05989046,0.57884526,0.34785154,0.012997264,3.0195075e-05,4.361617e-09,3.9172875e-14,2.187494e-20,7.5952177e-28,1.0
2.3333333,0.0003460181,0.056335635,0.57028824,0.35894844,0.014047407,3.418121e-05,5.1713474e-09,4.8645932e-14,2.8452276e-20,1.0346922e-27,0.9999999
2.35,0.00031051267,0.052950498,0.5614193,0.3701104,0.015170562,3.86633e-05,6.12665e-09,6.03631e-14,3.697859e-20,1.4084836e-27,0.99999994
2.3666666,0.0002784326,0.049729854,0.5522563,0.381321,0.016370703,4.369893e-05,7.2527153e-09,7.484407e-14,4.8022093e-20,1.9157918e-27,1.0
2.3833334,0.00024947088,0.04666847,0.54281706,0.3925636,0.01765197,4.9351773e-05,8.57905e-09,9.2725855e-14,6.231466e-20,2.6037835e-27,0.99999994
2.4,0.00022334672,0.0437612,0.5331207,0.40382046,0.019018553,5.5692082e-05,1.0139944e-08,1.1479037e-13,8.079769e-20,3.5360975e-27,0.99999994
2.4166667,0.00019980106,0.04100282,0.5231861,0.41507363,0.020474847,6.27975e-05,1.1975429e-08,1.4199347e-13,1.0468152e-19,4.7984148e-27,1.0
2.4333334,0.00017859715,0.038388077,0.51303256,0.4263047,0.0220253,7.075382e-05,1.4132022e-08,1.755038e-13,1.3551678e-19,6.5062374e-27,1.0
2.45,0.00015951761,0.035911746,0.5026798,0.43749475,0.023674492,7.965547e-05,1.6663867e-08,2.1675142e-13,1.7529761e-19,8.8148566e-27,1.0
2.4666667,0.00014236374,0.033568684,0.49214756,0.44862455,0.02542712,8.960617e-05,1.9633795e-08,2.6748406e-13,2.2657922e-19,1.1933469e-26,0.9999999
