time_sec,w_000,w_001,w_002,w_003,w_004,w_005,w_006,w_007,w_008,w_009,w_sum
2.2833333,0.0,0.0,0.7166667,0.2833333,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.3,0.0,0.0,0.70000005,0.29999995,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.3166666,0.0,0.0,0.6833334,0.3166666,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.3333333,0.0,0.0,0.66666675,0.33333325,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.35,0.0,0.0,0.6500001,0.3499999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.3666666,0.0,0.0,0.63333344,0.36666656,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.3833334,0.0,0.0,0.61666656,0.38333344,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.4,0.0,0.0,0.5999999,0.4000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.4166667,0.0,0.0,0.58333325,0.41666675,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.4333334,0.0,0.0,0.5666666,0.4333334,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.45,0.0,0.0,0.54999995,0.45000005,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.4666667,0.0,0.0,0.5333333,0.4666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.4833333,0.0,0.0,0.51666665,0.48333335,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.5166667,0.0,0.0,0.48333335,0.51666665,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.5333333,0.0,0.0,0.4666667,0.5333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.55,0.0,0.0,0.45000005,0.54999995,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.5666666,0.0,0.0,0.4333334,0.5666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.5833333,0.0,0.0,0.41666675,0.58333325,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.6,0.0,0.0,0.4000001,0.5999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.6166666,0.0,0.0,0.38333344,0.61666656,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.6333334,0.0,0.0,0.36666656,0.63333344,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.65,0.0,0.0,0.3499999,0.6500001,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.6666667,0.0,0.0,0.33333325,0.66666675,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.6833334,0.0,0.0,0.3166666,0.6833334,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.7,0.0,0.0,0.29999995,0.70000005,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.7166667,0.0,0.0,0.2833333,0.7166667,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.7333333,0.0,0.0,0.26666665,0.73333335,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.75,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.7666667,0.0,0.0,0.23333335,0.76666665,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.7833333,0.0,0.0,0.2166667,0.7833333,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.8,0.0,0.0,0.20000005,0.79999995,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.8166666,0.0,0.0,0.1833334,0.8166666,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.8333333,0.0,0.0,0.16666675,0.83333325,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.85,0.0,0.0,0.1500001,0.8499999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.8666666,0.0,0.0,0.13333344,0.86666656,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.8833334,0.0,0.0,0.116666555,0.88333344,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.9,0.0,0.0,0.099999905,0.9000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.9166667,0.0,0.0,0.083333254,0.91666675,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.9333334,0.0,0.0,0.0666666,0.9333334,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.95,0.0,0.0,0.049999952,0.95000005,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.9666667,0.0,0.0,0.0333333,0.9666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.9833333,0.0,0.0,0.01666665,0.98333335,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.0166667,0.0,0.0,0.0,0.98333335,0.01666665,0.0,0.0,0.0,0.0,0.0,1.0
3.0333333,0.0,0.0,0.0,0.9666667,0.0333333,0.0,0.0,0.0,0.0,0.0,1.0
3.05,0.0,0.0,0.0,0.95000005,0.049999952,0.0,0.0,0.0,0.0,0.0,1.0
